Keyword;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Mar 2025;Searches: Apr 2025;Searches: May 2025;Searches: Jun 2025;Searches: Jul 2025;Searches: Aug 2025;Searches: Sep 2025;Searches: Oct 2025;Searches: Nov 2025;Searches: Dec 2025;Searches: Jan 2026;Searches: Feb 2026
farol de milha fiesta 2012;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha fiesta 2013;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha focus 2008;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha ford ka;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha ford ka 2007;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha ford ka 2009;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha ford ka 2017;50;∞;∞;Baixo;29;;;;;;;;;;;;;;;;;;;
farol de milha ford ka 2019;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha ford ka 2020;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha forte luz;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha fox;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha fox 2005;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha fox 2006;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha fox 2008;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha fox 2009;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha fox 2010;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha fox 2011;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha fox 2012;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha fox 2013;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha fox 2014;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha gol;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha gol bola;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha gol g3 fase 1;50;∞;∞;Médio;50;;;;;;;;;;;;;;;;;;;
farol de milha gol g3 fase 2;50;∞;0%;Baixo;0;;;;;;;;;;;;;;;;;;;
farol de milha gol g4 led;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha gol g4 original;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha gol g5 original;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha golf;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha golf 2001;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha golf 2002;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha golf mk3;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha golf mk4;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha golf sapao;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha golf sportline;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha grand siena;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha hb20 2013;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha hb20 2016;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha hb20 2017;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha hb20 2018;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha hb20 2019;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha hb20 2021;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha hella;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha hilux;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha hilux 2013;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha honda city 2010;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha honda city 2013;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha honda civic 2008;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha honda civic 2010;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha honda civic 2014;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha honda fit;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha honda fit 2008;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha honda fit 2010;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha honda fit 2015;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha hrv 2016;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha i30;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha kadett;50;∞;∞;Médio;57;;;;;;;;;;;;;;;;;;;
farol de milha kombi;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha kwid;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha l200 triton;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha led 12v;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha led off road;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha led pequeno;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha led quadrado;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha led redondo;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha led retangular;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha led universal;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha led voyage g6;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha logan 2015;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha luz branca;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha mercado livre;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha meriva;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha mobi;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha montana;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha montana 2008;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha montana 2013;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha moto led;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha new fiesta;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha new fiesta 2014;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha new fiesta mexicano;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha nissan march;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha nivus;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha no mercadolivre;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha off road;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha off road led;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha olho de anjo;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha onix;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha onix 2013;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha onix 2014;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha onix 2015;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha onix 2017;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha onix 2018;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha onix 2021;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha ou neblina;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha palio;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha palio 2000;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha palio 2001;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha palio 2002;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha palio 2003;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha palio 2007;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha palio 98;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha palio 99;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha palio attractive 2013;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha palio g2;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha para carro;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha para celta;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha para fusca;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha para kombi;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha para moto led;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha para moto é permitido;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha para que serve;50;0%;0%;Baixo;7;;;;;;;;;;;;;;;;;;;
farol de milha para uno;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha parati g3;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha pequeno;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha peugeot 206;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha peugeot 207;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha peugeot 208;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha peugeot 307;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha peugeot 308;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha polo;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha polo 2003;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha polo 2008;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha polo 2018;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha polo 2019;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha potente;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha preço;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha prisma;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha prisma 2008;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha prisma 2010;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha prisma 2012;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha prisma 2015;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha prisma 2019;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha pulse;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha punto;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha punto 2008;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha punto 2011;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha punto 2013;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha quadrado de led;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha redondo de led;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha redondo led;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha renegade 2022;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha retangular;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha retangular de led;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha s10;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha s10 2008;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha sandero;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha sandero 2012;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha sandero 2013;50;∞;∞;Alto;86;;;;;;;;;;;;;;;;;;;
farol de milha sandero 2015;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha sandero 2018;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha santana;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha santana 2000;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha saveiro cross;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha saveiro g3;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha saveiro g4;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha saveiro g5;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha saveiro g6;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha saveiro g7;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha siena;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha siena 2007;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha siena 2008;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha siena 2010;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha siena 2011;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha spacefox 2008;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha strada;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha strada 2015;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha super branca;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha t cross;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha toro;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha tracker 2008;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha u7;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha universal quadrado;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha universal redondo;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha uno;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha uno 96;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha uno mille;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha uno vivace;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha uno way 2012;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha up;50;∞;∞;Baixo;0;;;;;;;;;;;;;;;;;;;
farol de milha vectra;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha vectra 2000;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha vectra 2008;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha vectra 2010;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha vectra 97;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha vectra 98;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha virtus;50;∞;0%;Alto;79;;;;;;;;;;;;;;;;;;;
farol de milha voyage;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha voyage g5;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha voyage g6;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha voyage g7;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha xenon;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha xre 300;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha é permitido;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milhas;50;0%;-90%;Alto;89;0,04;0,16;;;;;;;;;;;;;;;;;
farol de mobilete;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol de moto 125;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de moto led;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de moto titan 150;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de moto universal;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de neblina fiat pulse;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de neblina gol g2;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de neblina gol g4;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de neblina gol g5;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de neblina led;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de neblina moto;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de neblina para moto;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de neblina polo 2019;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de neblina é permitido;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de neon;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de palio;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de palio 97;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de rodagem diurna;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de ré;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de touros;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de uno;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de xenon;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de xenon é permitido;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de xenônio;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol del rey;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol depo;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol depo é original;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol dianteiro;50;0%;0%;Médio;56;;;;;;;;;;;;;;;;;;;
farol dianteiro gol g3;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol dianteiro gol g4;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol dianteiro gol g5;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol dianteiro palio 97;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol dianteiro peugeot 206;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol direito;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol dk 150;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do agile;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol do agile 2010;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do agile 2012;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol do agile 2013;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol do argo;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol do astra 2000;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do astra 2001;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do astra 2003;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do astra 2009;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do astra 2010;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do audi a3;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do azera 2013;50;0%;0%;Baixo;29;;;;;;;;;;;;;;;;;;;
farol do c3;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do c3 2008;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do c4 pallas;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do carro;50;0%;0%;Baixo;0;;;;;;;;;;;;;;;;;;;
farol do celta 2001;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do celta 2002;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do celta 2003;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do celta 2004;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do celta 2006;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do celta 2009;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do celta 2011;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do celta 2013;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do chevette;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do civic 2008;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do classic;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do classic 2012;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol do classic 2014;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do clio;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do clio 2011;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do cobalt;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do cobalt 2012;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol do cobalt 2013;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do corolla;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do corolla 2003;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do corolla 2004;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do corolla 2005;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do corolla 2010;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do corolla 2012;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do corolla 2013;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do corolla 2015;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do corolla 2018;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do corsa 2000;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol do corsa 2001;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do corsa 2002;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do corsa 2008;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do corsa 96;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do corsa 97;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do corsa 98;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do corsa 99;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do corsa classic 2008;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do corsa classic 2011;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do corsa classic 2012;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol do corsa montana;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do corsa wind;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do creta 2020;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do cruze;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do cruze 2012;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do cruze 2014;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do cruze 2015;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do fiat 147;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do fiat uno;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do fiesta;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do fiesta 2003;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do fiesta 2004;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do fiesta 2006;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do fiesta 2007;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do fiesta 2008;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do fiesta 2009;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do fiesta 2010;50;-100%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do fiesta 2011;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do fiesta 2012;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do fiesta 2013;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol do focus 2008;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol do ford ka;50;∞;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol do ford ka 2009;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
